date,TOYOTA,SHO_MTI,ENEOS,SBI_HD,JT,TAKEDA,TO_DEN,AGC
2001/1/4 0:00,1,5160,10319,15478,20637,25796,30955,36114
2001/1/5 0:00,2,5161,10320,15479,20638,25797,30956,36115
2001/1/9 0:00,3,5162,10321,15480,20639,25798,30957,36116
2001/1/10 0:00,4,5163,10322,15481,20640,25799,30958,36117
2001/1/11 0:00,5,5164,10323,15482,20641,25800,30959,36118
2001/1/12 0:00,6,5165,10324,15483,20642,25801,30960,36119
2001/1/15 0:00,7,5166,10325,15484,20643,25802,30961,36120
2001/1/16 0:00,8,5167,10326,15485,20644,25803,30962,36121
2001/1/17 0:00,9,5168,10327,15486,20645,25804,30963,36122
2001/1/18 0:00,10,5169,10328,15487,20646,25805,30964,36123
2001/1/19 0:00,11,5170,10329,15488,20647,25806,30965,36124
2001/1/22 0:00,12,5171,10330,15489,20648,25807,30966,36125
2001/1/23 0:00,13,5172,10331,15490,20649,25808,30967,36126
2001/1/24 0:00,14,5173,10332,15491,20650,25809,30968,36127
2001/1/25 0:00,15,5174,10333,15492,20651,25810,30969,36128
2001/1/26 0:00,16,5175,10334,15493,20652,25811,30970,36129
2001/1/29 0:00,17,5176,10335,15494,20653,25812,30971,36130
2001/1/30 0:00,18,5177,10336,15495,20654,25813,30972,36131
2001/1/31 0:00,19,5178,10337,15496,20655,25814,30973,36132
2001/2/1 0:00,20,5179,10338,15497,20656,25815,30974,36133
2001/2/2 0:00,21,5180,10339,15498,20657,25816,30975,36134
2001/2/5 0:00,22,5181,10340,15499,20658,25817,30976,36135
2001/2/6 0:00,23,5182,10341,15500,20659,25818,30977,36136
2001/2/7 0:00,24,5183,10342,15501,20660,25819,30978,36137
2001/2/8 0:00,25,5184,10343,15502,20661,25820,30979,36138
2001/2/9 0:00,26,5185,10344,15503,20662,25821,30980,36139
2001/2/13 0:00,27,5186,10345,15504,20663,25822,30981,36140
2001/2/14 0:00,28,5187,10346,15505,20664,25823,30982,36141
2001/2/15 0:00,29,5188,10347,15506,20665,25824,30983,36142
2001/2/16 0:00,30,5189,10348,15507,20666,25825,30984,36143
2001/2/19 0:00,31,5190,10349,15508,20667,25826,30985,36144
2001/2/20 0:00,32,5191,10350,15509,20668,25827,30986,36145
2001/2/21 0:00,33,5192,10351,15510,20669,25828,30987,36146
2001/2/22 0:00,34,5193,10352,15511,20670,25829,30988,36147
2001/2/23 0:00,35,5194,10353,15512,20671,25830,30989,36148
2001/2/26 0:00,36,5195,10354,15513,20672,25831,30990,36149
2001/2/27 0:00,37,5196,10355,15514,20673,25832,30991,36150
