Date,TOYOTA,SHO_MTI,ENEOS,SBI_HD,JT,TAKEDA,TO_DEN,AGC
2001-01-04 00:00:00,744.0,693.3333129882812,568.0,8333.3330078125,840.0,6760.0,2870.0,4600.0
2001-01-05 00:00:00,762.0,693.3333129882812,548.0,8333.3330078125,873.0,6580.0,2800.0,4655.0
2001-01-09 00:00:00,768.0,680.0,531.0,7944.4443359375,776.0,6850.0,2805.0,4600.0
2001-01-10 00:00:00,734.0,686.6666870117188,510.0,7500.0,792.0,6850.0,2840.0,4540.0
2001-01-11 00:00:00,680.0,653.3333129882812,509.0,6500.0,795.0,6850.0,2850.0,4540.0
2001-01-12 00:00:00,688.0,666.6666870117188,543.0,6888.888671875,790.0,6550.0,2735.0,4495.0
2001-01-15 00:00:00,704.0,663.3333129882812,545.0,7222.22216796875,800.0,6180.0,2620.0,4450.0
2001-01-16 00:00:00,794.0,673.3333129882812,534.0,7611.111328125,790.0,6230.0,2560.0,4430.0
2001-01-17 00:00:00,804.0,683.3333129882812,539.0,8722.22265625,799.0,6130.0,2630.0,4390.0
2001-01-18 00:00:00,790.0,693.3333129882812,526.0,9722.22265625,789.0,6070.0,2560.0,4390.0
2001-01-19 00:00:00,790.0,700.0,502.0,10277.77734375,805.0,6200.0,2525.0,4580.0
2001-01-22 00:00:00,778.0,693.3333129882812,510.0,9722.22265625,810.0,6300.0,2610.0,4650.0
2001-01-23 00:00:00,766.0,686.6666870117188,521.0,9000.0,802.0,6220.0,2625.0,4615.0
2001-01-24 00:00:00,770.0,680.0,513.0,9500.0,819.0,6220.0,2625.0,4605.0
2001-01-25 00:00:00,778.0,676.6666870117188,512.0,10444.4443359375,863.0,6070.0,2650.0,4590.0
2001-01-26 00:00:00,770.0,680.0,529.0,9333.3330078125,848.0,6360.0,2670.0,4500.0
2001-01-29 00:00:00,780.0,706.6666870117188,543.0,9444.4443359375,840.0,6440.0,2645.0,4535.0
2001-01-30 00:00:00,792.0,730.0,539.0,9611.111328125,836.0,6200.0,2600.0,4545.0
2001-01-31 00:00:00,794.0,746.6666870117188,531.0,9333.3330078125,821.0,6180.0,2550.0,4555.0
2001-02-01 00:00:00,806.0,746.6666870117188,530.0,9333.3330078125,820.0,6300.0,2540.0,4520.0
2001-02-02 00:00:00,788.0,733.3333129882812,525.0,9166.6669921875,817.0,6350.0,2510.0,4490.0
2001-02-05 00:00:00,766.0,713.3333129882812,527.0,9111.111328125,813.0,6190.0,2535.0,4480.0
2001-02-06 00:00:00,770.0,703.3333129882812,521.0,9444.4443359375,830.0,6060.0,2540.0,4355.0
2001-02-07 00:00:00,778.0,706.6666870117188,527.0,9166.6669921875,818.0,6110.0,2570.0,4265.0
2001-02-08 00:00:00,778.0,710.0,528.0,9111.111328125,830.0,6080.0,2570.0,4280.0
2001-02-09 00:00:00,790.0,736.6666870117188,530.0,8888.888671875,806.0,6100.0,2580.0,4240.0
2001-02-13 00:00:00,800.0,750.0,542.0,8666.6669921875,824.0,6120.0,2570.0,4325.0
